Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,1332,0
chiffres_daffaires_nets,0,0,0,0,0,0,1332,0
total_des_produits_dexploitation_i,0,0,0,0,0,0,1332,0
variation_de_stock_marchandises,0,0,0,0,0,0,-11884,0
autres_achats_et_charges_externes,0,0,0,0,283,571,5681,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,90,394,0
total_des_charges_dexploitation_ii,0,0,0,0,283,661,4420,0
_resultat_dexploitation_i__ii,0,0,0,0,-283,-661,-3088,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,-283,-661,-3087,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,1333,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,283,661,4420,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,-283,-661,-3087,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,10228,0
autres_interets_et_produits_assimiles,0,0,0,0,0,0,1,0
total_des_produits_financiers_v,0,0,0,0,0,0,1,0
_resultat_financier_v__vi,0,0,0,0,0,0,1,0
