Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,0,0,0,0,0,0
autres_immobilisations_financieres,0,0,0,0,0,0,0,0
total_i__immobilisations,0,0,0,0,0,0,0,0
matieres_premieres_approvisionnements,0,0,0,0,0,0,0,0
marchandises,0,0,0,0,0,0,0,0
clients_et_comptes_rattaches,0,0,0,0,0,0,0,0
autres_creances,0,0,0,0,0,0,0,0
disponibilites,0,0,0,0,0,0,0,0
total_ii__actif_circulant,0,0,0,0,0,0,0,0
total_general__actif,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,0,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,0
total_i__capital_social,0,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,0
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,0
total_iv__dettes,0,0,0,0,0,0,0,0
total_general__passif,0,0,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,0
reserve_legale,0,0,0,0,0,0,0,0
report_a_nouveau,0,0,0,0,0,0,0,0
