Libellé,2023,2022,2021,2020,2019,2018,2017,2016
capital_souscrit_non_appele,0,0,0,0,0,5000,0,0
fonds_commercial,0,0,0,9128,9128,9128,0,0
autres_immobilisations_corporelles,0,0,0,294,294,429,0,0
total_i__immobilisations,0,0,0,9422,9422,14557,0,0
marchandises,0,0,0,21500,25700,32603,0,0
clients_et_comptes_rattaches,0,0,0,9030,21237,8860,0,0
autres_creances,0,0,0,1197,6483,5607,0,0
disponibilites,0,0,0,34732,5402,6230,10026,0
total_ii__actif_circulant,0,0,0,66460,58822,53300,0,0
total_general__actif,0,0,0,75881,68244,67857,0,0
capital_social_ou_individuel,0,0,0,20000,20000,20000,20000,0
report_a_nouveau,0,0,0,7151,-3136,-6903,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,8134,10288,3767,0,0
total_i__capital_social,0,0,0,35285,27151,16864,0,0
emprunts_et_dettes_financieres_divers,0,0,0,29846,13907,13169,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,5694,17266,28891,0,0
dettes_fiscales_et_sociales,0,0,0,5055,7944,6957,0,0
autres_dettes,0,0,0,0,1976,1976,2661,0
total_iv__dettes,0,0,0,40596,41092,50993,0,0
total_general__passif,0,0,0,75881,68245,67857,0,0
immobilisations_incorporelles__fonds_commercial,0,0,0,0,0,0,9126,0
immobilisations_incorporelles__autres,0,0,0,0,0,0,5000,0
immobilisations_corporelles,0,0,0,0,0,0,564,0
total_actif_immobilise,0,0,0,0,0,0,14692,0
stock_marchandises,0,0,0,0,0,0,25380,0
creances__clients_et_comptes_rattaches,0,0,0,0,0,0,6731,0
creances__autres,0,0,0,0,0,0,3234,0
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,45371,0
total_general_actif,0,0,0,0,0,0,60063,0
resultat_de_lexercice,0,0,0,0,0,0,-6903,0
total_des_capitaux_propres__total_i,0,0,0,0,0,0,13097,0
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,44306,0
total_des_dettes,0,0,0,0,0,0,46966,0
total_general_passif,0,0,0,0,0,0,60063,0
