Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,161982,200206,146163,0,0
production_vendue_services,0,0,0,498,837,99,0,0
chiffres_daffaires_nets,0,0,0,162480,201043,146262,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,11874,0,0
autres_produits,0,0,0,0,24,4,135,0
total_des_produits_dexploitation_i,0,0,0,162480,201067,158140,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,82365,31695,88577,119957,0
variation_de_stock_marchandises,0,0,0,4200,6903,-7222,-25380,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,73449,7028,0,0
autres_achats_et_charges_externes,0,0,0,47679,61737,44490,0,0
impots_taxes_et_versements_assimiles,0,0,0,48,533,247,28,0
salaires_et_traitements,0,0,0,8314,3798,1581,0,0
charges_sociales,0,0,0,6366,2528,2631,3088,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,135,135,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,8827,0,0,0
autres_charges,0,0,0,3938,36,11747,1,0
total_des_charges_dexploitation_ii,0,0,0,152911,189641,149214,0,0
_resultat_dexploitation_i__ii,0,0,0,9569,11426,8926,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,9569,11426,8926,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,70,5159,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,70,5159,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,-70,-5159,0,0
impots_sur_les_benefices,0,0,0,1435,1070,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,162480,201067,158140,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,154346,190779,154373,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,8134,10288,3767,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
ventes_de_marchandises__export,0,0,0,0,0,0,128901,0
ventes_de_marchandises__france,0,0,0,0,0,0,128901,0
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,129036,0
autres_charges_externes,0,0,0,0,0,0,31358,0
dotations_aux_amortissements,0,0,0,0,0,0,112,0
dotations_aux_provisions,0,0,0,0,0,0,11741,0
total_des_charges_dexploitation,0,0,0,0,0,0,140904,0
resultat_dexploitation,0,0,0,0,0,0,-11868,0
produits_exceptionnels,0,0,0,0,0,0,5000,0
charges_exceptionnelles,0,0,0,0,0,0,35,0
benefice_ou_perte,0,0,0,0,0,0,-6903,0
