Libellé,2023,2022,2021,2020,2019,2018,2017,2016
creances__autres,0,0,0,4352,1811,8,0,0
disponibilites,0,0,0,11035,9344,7795,9116,0
total_actif_circulant__charges_constatees_davance,0,0,0,25841,22980,7803,9116,0
total_general_actif,0,0,0,37141,22980,7803,9116,0
capital_social_ou_individuel,0,0,0,10000,10000,10000,10000,0
report_a_nouveau,0,0,0,-1847,-2197,-884,0,0
resultat_de_lexercice,0,0,0,-2107,350,-1314,-884,0
total_des_capitaux_propres__total_i,0,0,0,6046,8153,7803,9116,0
total_general_passif,0,0,0,37141,22980,7803,9116,0
immobilisations_financieres,0,0,0,11300,0,0,0,0
total_actif_immobilise,0,0,0,11300,0,0,0,0
stock_marchandises,0,0,0,10455,11825,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,23642,14827,0,0,0
autres_dettes,0,0,0,7454,0,0,0,0
total_des_dettes,0,0,0,31096,14827,0,0,0
