Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_charges_externes,0,0,0,16437,1401,387,426,0
impots_taxes_et_versements_assimiles,0,0,0,926,1727,926,458,0
total_des_charges_dexploitation,0,0,0,28952,6130,1314,884,0
resultat_dexploitation,0,0,0,-2107,350,-1314,-884,0
benefice_ou_perte,0,0,0,-2107,350,-1314,-884,0
ventes_de_marchandises__france,0,0,0,13063,6480,0,0,0
autres_produits,0,0,0,13782,0,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,0,26845,6480,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,4621,14827,0,0,0
variation_de_stock_marchandises,0,0,0,1370,-11825,0,0,0
remunerations_du_personnel,0,0,0,5530,0,0,0,0
charges_sociales,0,0,0,68,0,0,0,0
montant_de_la_tva_collectee,0,0,0,2613,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,3127,0,0,0,0
effectif_moyen_du_personnel,0,0,0,2,0,0,0,0
produits_financiers,0,0,0,0,0,0,8,0
charges_exceptionnelles,0,0,0,0,0,0,0,0
