Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,0,80000,80000,80000,0,80000,80000,0
immobilisations_corporelles,0,898,1098,1298,0,1936,2330,0
immobilisations_financieres,0,14418,13493,13347,0,12766,12560,0
total_actif_immobilise,0,95316,94591,94646,0,94703,94890,0
stock_marchandises,0,581252,448556,296585,0,76250,89762,0
creances__clients_et_comptes_rattaches,0,10917,35696,22593,0,19349,6226,0
creances__autres,0,3477,31665,14115,0,6939,3085,0
disponibilites,36378,47010,65476,30191,0,39210,27746,0
total_actif_circulant__charges_constatees_davance,0,642656,581394,363485,0,141749,126819,0
total_general_actif,0,737972,675985,458130,0,236451,221709,0
capital_social_ou_individuel,20000,20000,20000,20000,0,20000,20000,0
resultat_de_lexercice,0,31221,41273,39097,0,3370,2583,0
total_des_capitaux_propres__total_i,0,142393,111172,69898,0,25954,22583,0
fournisseurs_et_comptes_rattaches,0,405551,353694,205419,0,112165,103619,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,169998,171119,182813,0,98332,95507,0
total_des_dettes,0,595579,564813,388232,0,210497,199126,0
total_general_passif,0,737972,675985,458130,0,236451,221709,0
reserve_legale,2000,2000,2000,2000,0,0,0,0
report_a_nouveau,120393,89172,47898,8801,0,2583,0,0
emprunts_et_dettes_assimilees,0,20030,40000,0,0,0,0,0
fonds_commercial,80000,0,0,0,0,0,0,0
autres_immobilisations_corporelles,698,0,0,0,0,0,0,0
autres_immobilisations_financieres,15571,0,0,0,0,0,0,0
total_i__immobilisations,96270,0,0,0,0,0,0,0
marchandises,539467,0,0,0,0,0,0,0
clients_et_comptes_rattaches,22943,0,0,0,0,0,0,0
autres_creances,5844,0,0,0,0,0,0,0
total_ii__actif_circulant,604633,0,0,0,0,0,0,0
total_general__actif,700903,0,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,8496,0,0,0,0,0,0,0
total_i__capital_social,150889,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,132400,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,401039,0,0,0,0,0,0,0
dettes_fiscales_et_sociales,16574,0,0,0,0,0,0,0
total_iv__dettes,550013,0,0,0,0,0,0,0
total_general__passif,700903,0,0,0,0,0,0,0
