Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,1151,286,628,1201,511,0
immobilisations_financieres,0,0,11550,11550,11550,11550,11550,0
total_actif_immobilise,0,0,12701,11836,12178,12751,12061,0
stock_marchandises,0,0,143314,139982,191784,161649,132364,0
creances__clients_et_comptes_rattaches,0,0,12325,17871,21638,390,242,0
creances__autres,0,0,504,4687,385,1249,166,0
disponibilites,0,0,78151,67981,53792,35188,46813,0
charges_constatees_davance,0,0,12295,9990,6148,3074,0,0
total_actif_circulant__charges_constatees_davance,0,0,246589,240511,273747,201550,179585,0
total_general_actif,0,0,259289,252347,285926,214302,191646,0
capital_social_ou_individuel,0,0,8000,8000,8000,8000,8000,0
reserve_legale,0,0,800,800,800,800,0,0
autres_reserves,0,0,44708,42298,28224,15891,0,0
resultat_de_lexercice,0,0,7739,2409,14074,12333,16691,0
total_des_capitaux_propres__total_i,0,0,61247,53508,51098,37024,24691,0
fournisseurs_et_comptes_rattaches,0,0,115593,106213,196635,142483,130815,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,32377,43126,38192,34794,36140,0
total_des_dettes,0,0,198042,198839,234827,177278,166955,0
total_general_passif,0,0,259289,252347,285926,214302,191646,0
emprunts_et_dettes_assimilees,0,0,50073,49500,0,0,0,0
