Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,15354,7305,10109,24208,14170,0
ventes_de_marchandises__france,0,0,229355,168920,240717,221093,201331,0
production_vendue_de_services__france,0,0,3570,2908,2255,1684,913,0
autres_produits,0,0,3386,3524,777,2007,1512,0
total_des_produits_dexploitation_hors_tva,0,0,237811,179852,243749,224785,203757,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,110319,23763,139521,126591,219210,0
variation_de_stock_marchandises,0,0,-3332,51802,-30135,-29285,-132363,0
autres_charges_externes,0,0,53083,44881,52588,53663,51693,0
dont_taxe_professionnelle,0,0,-17581,0,1756,1556,0,0
impots_taxes_et_versements_assimiles,0,0,5199,3176,4314,4674,1652,0
remunerations_du_personnel,0,0,47762,46688,50030,44848,36153,0
charges_sociales,0,0,15200,6673,9503,9528,7752,0
dotations_aux_amortissements,0,0,335,342,573,287,231,0
autres_charges,0,0,22,76,263,2,0,0
total_des_charges_dexploitation,0,0,228589,177401,226657,210307,184328,0
resultat_dexploitation,0,0,9222,2451,17092,14478,19429,0
charges_financieres,0,0,648,0,534,159,0,0
impots_sur_les_benefices,0,0,732,0,2484,1985,2738,0
benefice_ou_perte,0,0,7739,2409,14074,12333,16691,0
montant_de_la_tva_collectee,0,0,43097,32766,46534,39606,37575,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,10627,13857,10792,10843,18986,0
effectif_moyen_du_personnel,0,0,1,1,1,1,1,0
subventions_dexploitation_recues,0,0,1500,4500,0,0,0,0
charges_exceptionnelles,0,0,103,41,0,0,0,0
