Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_financieres,11700,11700,11700,11700,11700,11700,0,0
total_actif_immobilise,11700,11700,11700,11700,11700,11700,0,0
stock_marchandises,80102,87689,79659,38924,33084,25651,0,0
creances__clients_et_comptes_rattaches,67266,31317,21744,50300,88822,49698,0,0
creances__autres,248,1388,4066,5,485,2450,0,0
disponibilites,11511,29985,8875,51118,37821,11835,0,0
charges_constatees_davance,1223,0,0,0,0,864,0,0
total_actif_circulant__charges_constatees_davance,160350,150380,114344,140346,160212,90497,0,0
total_general_actif,172050,162080,126044,152046,171912,102197,0,0
capital_social_ou_individuel,8000,8000,8000,8000,8000,8000,0,0
reserve_legale,800,800,800,800,800,0,0,0
report_a_nouveau,834,-8511,-15179,-6155,-6931,2676,0,0
resultat_de_lexercice,1164,9345,6668,-9023,776,-8807,0,0
total_des_capitaux_propres__total_i,10798,9634,289,-6379,2645,1869,0,0
fournisseurs_et_comptes_rattaches,71325,71301,45140,79891,96262,50117,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,89927,81145,80615,78534,73005,50211,0,0
total_des_dettes,161252,152446,125755,158425,169268,100328,0,0
total_general_passif,172050,162080,126044,152046,171912,102197,0,0
