Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,37933,37835,4352,0,9959,12551,0,0
ventes_de_marchandises__france,233045,209090,130501,104880,149971,145955,0,0
production_vendue_de_services__france,1751,1909,749,476,546,285,0,0
autres_produits,10,194,8048,9486,2,0,0,0
total_des_produits_dexploitation_hors_tva,234806,211193,148964,119341,150520,146240,0,0
achats_de_marchandises_y_compris_droits_de_douane,94894,97606,97366,51440,72638,82024,0,0
variation_de_stock_marchandises,7587,-8030,-40736,-5840,-7433,-12522,0,0
autres_charges_externes,41853,41917,40341,39196,39128,39658,0,0
dont_taxe_professionnelle,2594,2710,-28451,2971,3104,3862,0,0
impots_taxes_et_versements_assimiles,5635,5793,5604,5501,5525,6563,0,0
remunerations_du_personnel,72635,53827,31142,25934,37226,34045,0,0
charges_sociales,11038,8226,8468,12132,2660,5277,0,0
total_des_charges_dexploitation,233643,201704,142297,128365,149744,155047,0,0
resultat_dexploitation,1164,9489,6668,-9023,776,-8807,0,0
benefice_ou_perte,1164,9345,6668,-9023,776,-8807,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,2356,110,0,0,0,0,0
autres_charges,0,10,1,0,0,1,0,0
produits_exceptionnels,0,50,0,0,0,0,0,0
charges_exceptionnelles,0,194,0,0,0,0,0,0
montant_de_la_tva_collectee,0,0,21973,0,30887,37648,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,9654,0,22487,23299,0,0
production_vendue_de_biens__export,0,0,16554,0,0,0,0,0
subventions_dexploitation_recues,0,0,9666,4500,0,0,0,0
