Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,0,0,280500,280500,280500,0
autres_immobilisations_financieres,0,0,0,0,3250,3250,2000,0
total_i__immobilisations,0,0,0,0,283750,283750,282500,0
clients_et_comptes_rattaches,0,0,0,0,81358,522419,189829,0
autres_creances,0,0,0,0,5706,4928,8566,0
disponibilites,0,0,0,0,409468,87459,238532,0
total_ii__actif_circulant,0,0,0,0,496532,614807,437086,0
total_general__actif,0,0,0,0,780282,898557,719586,0
capital_social_ou_individuel,0,0,0,0,10000,10000,10000,0
reserve_legale,0,0,0,0,1000,1000,0,0
autres_reserves,0,0,0,0,124,124,0,0
report_a_nouveau,0,0,0,0,57786,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,68287,57786,1124,0
total_i__capital_social,0,0,0,0,137196,68909,11124,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,101,100,58,0
emprunts_et_dettes_financieres_divers,0,0,0,0,299205,577188,575753,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,26288,42455,39240,0
dettes_fiscales_et_sociales,0,0,0,0,317493,209904,93412,0
total_iv__dettes,0,0,0,0,643086,829647,708463,0
total_general__passif,0,0,0,0,780282,898557,719586,0
charges_constatees_davance,0,0,0,0,0,0,160,0
