Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,0,0,809890,658607,158190,0
chiffres_daffaires_nets,0,0,0,0,809890,658607,158190,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,15755,16896,2124,0
autres_produits,0,0,0,0,7,386,0,0
total_des_produits_dexploitation_i,0,0,0,0,825651,675889,160314,0
autres_achats_et_charges_externes,0,0,0,0,279119,193873,63654,0
impots_taxes_et_versements_assimiles,0,0,0,0,5854,4392,1043,0
salaires_et_traitements,0,0,0,0,305668,276608,66556,0
charges_sociales,0,0,0,0,133615,120291,27376,0
autres_charges,0,0,0,0,0,1,0,0
total_des_charges_dexploitation_ii,0,0,0,0,724256,595165,158629,0
_resultat_dexploitation_i__ii,0,0,0,0,101395,80724,1686,0
interets_et_charges_assimilees,0,0,0,0,5967,0,0,0
total_des_charges_financieres_vi,0,0,0,0,5967,0,0,0
_resultat_financier_v__vi,0,0,0,0,-5967,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,95429,80724,1686,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,117,30,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,117,30,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,-117,-30,0,0
impots_sur_les_benefices,0,0,0,0,27025,22906,562,0
total_des_produits_i__iii__v__vii,0,0,0,0,825651,675889,160314,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,757365,618103,159191,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,68287,57786,1124,0
