Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,12,0,0,0,0,0
autres_participations,0,0,204,0,0,0,0,0
total_i__immobilisations,0,0,216,0,0,0,0,0
marchandises,0,0,305060,0,0,0,0,0
clients_et_comptes_rattaches,0,0,197193,0,0,0,0,0
autres_creances,0,0,37841,0,0,0,0,0
disponibilites,0,0,16365,0,0,0,0,0
total_ii__actif_circulant,0,0,556459,0,0,0,0,0
total_general__actif,0,0,556675,0,0,0,0,0
capital_social_ou_individuel,0,0,50000,0,0,0,0,0
report_a_nouveau,0,0,-215082,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,215433,0,0,0,0,0
total_i__capital_social,0,0,50351,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,30000,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,339918,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,90683,0,0,0,0,0
dettes_fiscales_et_sociales,0,0,25114,0,0,0,0,0
autres_dettes,0,0,20609,0,0,0,0,0
total_iv__dettes,0,0,506324,0,0,0,0,0
total_general__passif,0,0,556675,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,506324,0,0,0,0,0
