Libellé,2023,2022,2021,2020,2019,2018,2017,2016
stock_marchandises,0,205191,143069,153403,66205,62904,18879,0
creances__clients_et_comptes_rattaches,0,40470,51067,13127,9562,22134,30990,0
creances__autres,0,137059,130934,135,1801,668,578,0
disponibilites,0,23761,9566,713,172,2017,3604,0
total_actif_circulant__charges_constatees_davance,0,408065,336220,169196,79429,89179,54051,0
total_general_actif,0,408080,336220,169196,79429,89179,54051,0
capital_social_ou_individuel,0,20000,20000,20000,20000,5000,5000,0
resultat_de_lexercice,0,32518,75698,29111,26745,15288,2562,0
total_des_capitaux_propres__total_i,0,186921,154403,78705,49595,22850,7562,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,13393,9836,0
fournisseurs_et_comptes_rattaches,0,111499,101791,43763,7829,33406,31756,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,65416,45026,11728,19216,19529,4897,0
total_des_dettes,0,206159,181817,90490,29834,66329,46490,0
total_general_passif,0,408080,336220,169196,79429,89179,54051,0
avances_et_acomptes_verses_sur_commandes,0,1584,1584,1584,1456,1456,0,0
charges_constatees_davance,0,0,0,234,234,0,0,0
reserve_legale,0,2000,2000,2000,500,130,0,0
autres_reserves,0,132403,56705,27595,2350,2432,0,0
emprunts_et_dettes_assimilees,0,29244,35000,35000,2790,0,0,0
immobilisations_financieres,0,15,0,0,0,0,0,0
total_actif_immobilise,0,15,0,0,0,0,0,0
provisions_pour_risques_et_charges__total_ii,0,15000,0,0,0,0,0,0
