Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,317365,179696,96391,72107,80968,90916,0
autres_produits,0,61,17,514,7,20,2,0
total_des_produits_dexploitation_hors_tva,0,366097,274406,154423,140569,89124,90918,0
achats_de_marchandises_y_compris_droits_de_douane,0,283356,96951,147167,55504,88198,89852,0
variation_de_stock_marchandises,0,-62122,10334,-87198,-3301,-44026,-18879,0
dont_credit_bail_mobilier,0,0,0,0,0,0,6,0
autres_charges_externes,0,49951,69304,58412,55919,26744,16806,0
autres_charges,0,623,595,643,447,2,124,0
total_des_charges_dexploitation,0,322283,177524,119207,108570,70918,87904,0
resultat_dexploitation,0,43814,96882,35216,31999,18206,3014,0
impots_sur_les_benefices,0,6207,20787,5257,4744,2698,452,0
benefice_ou_perte,0,32518,75698,29111,26745,15288,2562,0
montant_de_la_tva_collectee,0,73101,53460,0,27270,16850,18183,0
montant_de_la_tva_deductible_sur_biens_et_services,0,60410,12699,31680,15060,12804,18730,0
production_vendue_de_services__france,0,48671,93193,57519,68454,8136,0,0
charges_financieres,0,2432,397,169,372,220,0,0
charges_exceptionnelles,0,2657,126202,680,137,0,0,0
dont_taxe_professionnelle,0,-28351,243,0,0,0,0,0
impots_taxes_et_versements_assimiles,0,3581,341,183,0,0,0,0
remunerations_du_personnel,0,21600,0,0,0,0,0,0
charges_sociales,0,10294,0,0,0,0,0,0
dotations_aux_provisions,0,15000,0,0,0,0,0,0
effectif_moyen_du_personnel,0,1,0,0,0,0,0,0
ventes_de_marchandises__export,0,0,209,0,0,0,0,0
production_vendue_de_biens__export,0,0,215,0,0,0,0,0
production_vendue_de_services__export,0,0,217,0,0,0,0,0
subventions_dexploitation_recues,0,0,1500,0,0,0,0,0
produits_exceptionnels,0,0,126202,0,0,0,0,0
