Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,23087,55608,39093,0
production_vendue_de_services__france,0,0,0,0,14787,13,31,0
autres_produits,0,0,0,0,0,165,1,0
total_des_produits_dexploitation_hors_tva,0,0,0,0,37874,57247,39125,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,9022,14607,35546,0
variation_de_stock_marchandises,0,0,0,0,-513,4846,-16078,0
autres_charges_externes,0,0,0,0,21290,25866,9886,0
remunerations_du_personnel,0,0,0,0,3553,9914,4776,0
charges_sociales,0,0,0,0,2187,1159,1732,0
dotations_aux_amortissements,0,0,0,0,180,180,64,0
autres_charges,0,0,0,0,68,38,1,0
total_des_charges_dexploitation,0,0,0,0,38148,57187,35927,0
resultat_dexploitation,0,0,0,0,-274,60,3198,0
charges_financieres,0,0,0,0,83,21,9,0
charges_exceptionnelles,0,0,0,0,0,972,49,0
impots_sur_les_benefices,0,0,0,0,0,0,478,0
benefice_ou_perte,0,0,0,0,-357,40,2662,0
subventions_dexploitation_recues,0,0,0,0,0,1461,0,0
dont_taxe_professionnelle,0,0,0,0,1851,0,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,2361,577,0,0
produits_exceptionnels,0,0,0,0,0,972,0,0
