Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
constructions,0,0,51,1374,0,0,0,0
autres_immobilisations_corporelles,6679,4027,5025,2623,0,0,0,0
autres_immobilisations_financieres,10000,10000,10000,10000,0,0,0,0
total_i__immobilisations,16679,14027,15076,13996,0,0,0,0
marchandises,384580,375295,268211,255552,0,0,0,0
avances_et_acomptes_verses_sur_commandes,660,2600,1638,2362,0,0,0,0
clients_et_comptes_rattaches,304591,230864,150737,108375,0,0,0,0
autres_creances,985,4372,533,483,0,0,0,0
disponibilites,353248,301411,479208,297040,0,0,0,0
charges_constatees_davance,2449,2189,3070,2090,0,0,0,0
total_ii__actif_circulant,1046515,916731,903396,665901,0,0,0,0
total_general__actif,1063193,930758,918472,679897,0,0,0,0
capital_social_ou_individuel,5000,5000,5000,5000,0,0,0,0
reserve_legale,500,500,500,500,0,0,0,0
report_a_nouveau,316471,97596,35840,54144,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,139114,218875,261757,181696,0,0,0,0
total_i__capital_social,461085,321971,303096,241340,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,80672,109312,125000,125000,0,0,0,0
emprunts_et_dettes_financieres_divers,44547,51892,42856,61731,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,276008,208357,233369,149876,0,0,0,0
dettes_fiscales_et_sociales,100002,139226,115151,101950,0,0,0,0
autres_dettes,100879,100000,99000,0,0,0,0,0
total_iv__dettes,602108,608787,615376,438557,0,0,0,0
total_general__passif,1063193,930758,918472,679897,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,549436,526557,0,313461,0,0,0,0
