Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,6750,0,0,0,0,0
autres_immobilisations_corporelles,341116,185442,239848,0,85405,0,0,0
autres_immobilisations_financieres,71780,38352,38467,0,262,0,0,0
total_i__immobilisations,413416,227429,285065,0,85667,0,0,0
marchandises,0,0,713956,0,0,0,0,0
clients_et_comptes_rattaches,92594,82655,59614,0,53156,0,0,0
autres_creances,29493,130439,19921,0,35147,0,0,0
disponibilites,54070,559224,210786,33611,43492,0,0,0
charges_constatees_davance,45109,25979,26060,25600,0,0,0,0
total_ii__actif_circulant,1318288,1191925,1030338,0,581708,0,0,0
total_general__actif,1731704,1419354,1315402,0,667375,0,0,0
capital_social_ou_individuel,1282500,491500,491500,10000,0,0,0,0
report_a_nouveau,-2564,-567724,-74,-456225,-97912,0,0,0
resultat_de_lexercice_benefice_ou_perte,-460218,-343840,-567650,0,-358313,0,0,0
total_i__capital_social,819718,-420064,-76224,0,-446225,0,0,0
emprunts_et_dettes_financieres_divers,682897,1630162,1235045,0,170514,0,0,0
dettes_fournisseurs_et_comptes_rattaches,82155,34742,55672,0,870882,0,0,0
dettes_fiscales_et_sociales,144208,174514,100909,0,72204,0,0,0
total_iv__dettes,911986,1839418,1391626,0,1113600,0,0,0
total_general__passif,1731704,1419354,1315402,0,667375,0,0,0
autres_immobilisations_incorporelles,519,3635,0,0,0,0,0,0
matieres_premieres_approvisionnements,0,0,0,0,449913,0,0,0
valeurs_mobilieres_de_placement,65000,0,0,0,0,0,0,0
provisions_pour_risques,0,0,0,0,0,0,0,0
total_iii__provisions,0,0,0,0,0,0,0,0
autres_dettes,2726,0,0,83361,0,0,0,0
en_cours_de_production_de_biens,1032022,393628,0,0,0,0,0,0
immobilisations_corporelles,0,0,0,330825,0,0,0,0
immobilisations_financieres,0,0,0,37769,0,0,0,0
total_actif_immobilise,0,0,0,368594,0,0,0,0
matieres_premieres_approvisionnements_en_cours_de_production,0,0,0,727184,0,0,0,0
creances__clients_et_comptes_rattaches,0,0,0,67011,0,0,0,0
creances__autres,0,0,0,69202,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,922608,0,0,0,0
total_general_actif,0,0,0,1291202,0,0,0,0
resultat_de_lexercice,0,0,0,-762349,0,0,0,0
total_des_capitaux_propres__total_i,0,0,0,-1208574,0,0,0,0
emprunts_et_dettes_assimilees,0,0,0,2355453,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,60961,0,0,0,0
total_des_dettes,0,0,0,2499776,0,0,0,0
total_general_passif,0,0,0,1291202,0,0,0,0
