Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,0,0,0,0,0,0,583,0
total_actif_immobilise,0,0,0,0,0,0,583,0
stock_marchandises,166159,134172,123542,0,87007,78130,33468,0
creances__clients_et_comptes_rattaches,64663,72424,32747,0,24440,51605,24934,0
creances__autres,150,2786,1833,0,16396,2549,5200,0
disponibilites,151812,139720,180511,0,78538,19439,26886,0
total_actif_circulant__charges_constatees_davance,382784,349102,338633,0,206383,151724,90489,0
total_general_actif,382784,349102,338633,0,206383,151724,91072,0
capital_social_ou_individuel,1000,1000,1000,0,1000,1000,1000,0
reserve_legale,100,100,100,0,100,100,0,0
autres_reserves,203334,172678,118824,0,81807,33404,0,0
resultat_de_lexercice,36540,30656,53854,0,29067,48402,33504,0
total_des_capitaux_propres__total_i,240974,204434,173778,0,111974,82907,34504,0
fournisseurs_et_comptes_rattaches,900,10909,15551,0,5312,7548,3048,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,39101,98695,109303,0,89096,61269,53519,0
total_des_dettes,141810,144668,164855,0,94409,68817,56567,0
total_general_passif,382784,349102,338633,0,206383,151724,91072,0
emprunts_et_dettes_assimilees,25137,35064,40000,0,0,0,0,0
produits_constates_davance,76673,0,0,0,0,0,0,0
