Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,226653,239702,252197,0,199775,175577,95414,0
autres_produits,2879,78,661,0,477,10,9,0
total_des_produits_dexploitation_hors_tva,229532,239780,262858,0,200253,175587,95422,0
achats_de_marchandises_y_compris_droits_de_douane,104895,109021,138104,0,102772,113808,66498,0
variation_de_stock_marchandises,-31987,-10630,-24320,0,-8877,-44661,-33468,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,208,238,0
autres_charges_externes,40500,38647,42487,0,36547,44298,19455,0
dont_taxe_professionnelle,466,-4441,447,0,457,76,0,0
impots_taxes_et_versements_assimiles,966,233,1036,0,968,225,0,0
dotations_aux_amortissements,0,0,0,0,0,583,30,0
autres_charges,5161,2798,178,0,65,7,0,0
total_des_charges_dexploitation,186038,201930,197963,0,165386,114468,52755,0
resultat_dexploitation,43494,37850,64895,0,34866,61118,42667,0
produits_financiers,0,0,347,0,0,20,0,0
charges_financieres,223,1361,1541,0,0,251,0,0
charges_exceptionnelles,163,360,0,0,569,393,107,0
impots_sur_les_benefices,6568,5473,9847,0,5230,12093,9056,0
benefice_ou_perte,36540,30656,53854,0,29067,48402,33504,0
montant_de_la_tva_collectee,45331,47940,53988,0,0,35115,19082,0
montant_de_la_tva_deductible_sur_biens_et_services,2526,1678,26715,0,0,14983,12495,0
subventions_dexploitation_recues,0,0,10000,0,0,0,0,0
remunerations_du_personnel,47629,44211,29307,0,24266,0,0,0
charges_sociales,18874,17387,11172,0,9643,0,0,0
dotations_aux_provisions,0,264,0,0,0,0,0,0
