Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,0,0,0,0,0,0,0,0
concessions_brevets_et_droits_similaires,0,0,12506,0,0,0,0,0
fonds_commercial,0,0,39000,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,1002,0,0,0,0,0
autres_immobilisations_corporelles,0,0,21177,0,0,0,0,0
autres_immobilisations_financieres,0,0,7140,0,0,0,0,0
total_i__immobilisations,0,0,80825,0,0,0,0,0
marchandises,0,0,190015,0,0,0,0,0
clients_et_comptes_rattaches,0,0,190160,0,0,0,0,0
autres_creances,0,0,5865,0,0,0,0,0
disponibilites,0,0,3003,0,0,0,0,0
charges_constatees_davance,0,0,1518,0,0,0,0,0
total_ii__actif_circulant,0,0,390561,0,0,0,0,0
total_general__actif,0,0,471386,0,0,0,0,0
capital_social_ou_individuel,0,0,6000,0,0,0,0,0
report_a_nouveau,0,0,-1475,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,22374,0,0,0,0,0
total_i__capital_social,0,0,26899,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,171081,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,3723,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,251604,0,0,0,0,0
dettes_fiscales_et_sociales,0,0,18079,0,0,0,0,0
autres_dettes,0,0,0,0,0,0,0,0
total_iv__dettes,0,0,444487,0,0,0,0,0
total_general__passif,0,0,471386,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,356984,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,44797,0,0,0,0,0
emprunts_participatifs,0,0,3723,0,0,0,0,0
