Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,587,2019,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,264177,185257,0,0,0,0,0,0
autres_immobilisations_corporelles,12971,16959,0,0,0,0,0,0
autres_immobilisations_financieres,850,850,0,0,0,0,0,0
total_i__immobilisations,278585,205085,0,0,0,0,0,0
marchandises,411772,356798,0,0,0,0,0,0
clients_et_comptes_rattaches,871669,800296,0,0,0,0,0,0
autres_creances,89800,267617,0,0,0,0,0,0
disponibilites,75955,6386,0,0,0,0,0,0
charges_constatees_davance,206,0,0,0,0,0,0,0
total_ii__actif_circulant,1449402,1431096,0,0,0,0,0,0
total_general__actif,1732503,1636181,0,0,0,0,0,0
capital_social_ou_individuel,48000,48000,0,0,0,0,0,0
primes_demission_de_fusion_dapport,32000,32000,0,0,0,0,0,0
report_a_nouveau,74724,38138,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,162298,41386,0,0,0,0,0,0
total_i__capital_social,321822,159524,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,614178,625081,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,25142,43443,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,551121,493366,0,0,0,0,0,0
dettes_fiscales_et_sociales,145875,255461,0,0,0,0,0,0
autres_dettes,59290,51209,0,0,0,0,0,0
total_iv__dettes,1395607,1468559,0,0,0,0,0,0
dettes_diverses,10558,8098,0,0,0,0,0,0
total_general__passif,1732503,1636181,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,1395607,1468559,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,100000,18871,0,0,0,0,0,0
emprunts_participatifs,0,43443,0,0,0,0,0,0
ecarts_de_conversion_actif,4516,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
reserve_legale,4800,0,0,0,0,0,0,0
provisions_pour_risques,4516,0,0,0,0,0,0,0
total_iii__provisions,4516,0,0,0,0,0,0,0
