Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_financieres,0,0,1943,1943,0,0,0,0
total_actif_immobilise,0,0,1943,1943,0,0,0,0
stock_marchandises,0,0,2654,1690,0,0,0,0
disponibilites,0,0,2086,436,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,4741,2126,0,0,0,0
total_general_actif,0,0,6685,4070,0,0,0,0
capital_social_ou_individuel,0,0,1000,1000,0,0,0,0
report_a_nouveau,0,0,-11633,-16891,0,0,0,0
resultat_de_lexercice,0,0,4505,5257,0,0,0,0
total_des_capitaux_propres__total_i,0,0,-6127,-10633,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,585,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,12812,14118,0,0,0,0
total_des_dettes,0,0,12812,14703,0,0,0,0
total_general_passif,0,0,6685,4070,0,0,0,0
