Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,36390,29485,0,0,0,0
production_vendue_de_services__france,0,0,14098,11621,0,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,50489,41107,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,21053,14038,0,0,0,0
variation_de_stock_marchandises,0,0,-964,1190,0,0,0,0
autres_charges_externes,0,0,10571,10567,0,0,0,0
dont_taxe_professionnelle,0,0,881,883,0,0,0,0
impots_taxes_et_versements_assimiles,0,0,1141,1126,0,0,0,0
remunerations_du_personnel,0,0,13856,8272,0,0,0,0
charges_sociales,0,0,326,654,0,0,0,0
total_des_charges_dexploitation,0,0,45983,35849,0,0,0,0
resultat_dexploitation,0,0,4505,5257,0,0,0,0
benefice_ou_perte,0,0,4505,5257,0,0,0,0
