Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,500000,0,0,0,0,0,0,0
autres_immobilisations_corporelles,55378,0,0,0,0,0,0,0
creances_rattachees_a_des_participations,2400,0,0,0,0,0,0,0
autres_immobilisations_financieres,11900,0,0,0,0,0,0,0
total_i__immobilisations,569678,0,0,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,0
clients_et_comptes_rattaches,22561,0,0,0,0,0,0,0
autres_creances,199179,0,0,0,0,0,0,0
disponibilites,191812,0,0,0,0,0,0,0
charges_constatees_davance,1700,0,0,0,0,0,0,0
total_ii__actif_circulant,415251,0,0,0,0,0,0,0
total_general__actif,984930,0,0,0,0,0,0,0
capital_social_ou_individuel,8000,0,0,0,0,0,0,0
reserve_legale,800,0,0,0,0,0,0,0
report_a_nouveau,230681,0,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,79995,0,0,0,0,0,0,0
total_i__capital_social,319476,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,321808,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,31963,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,222370,0,0,0,0,0,0,0
dettes_fiscales_et_sociales,89311,0,0,0,0,0,0,0
produits_constates_davance,0,0,0,0,0,0,0,0
total_iv__dettes,665453,0,0,0,0,0,0,0
total_general__passif,984930,0,0,0,0,0,0,0
emprunts_participatifs,31963,0,0,0,0,0,0,0
