Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,11661,29337,0,0,0,63205,0,0
autres_immobilisations_corporelles,238900,295743,0,0,0,14469,0,0
autres_immobilisations_financieres,1000,1000,0,0,0,0,0,0
total_i__immobilisations,251561,326080,0,0,0,77674,0,0
marchandises,774127,682080,0,0,0,0,0,0
clients_et_comptes_rattaches,165212,174806,0,0,0,3185,0,0
autres_creances,31765,24118,0,0,0,87776,0,0
disponibilites,53289,87202,0,0,0,74669,0,0
charges_constatees_davance,3521,20699,0,0,0,3556,0,0
total_ii__actif_circulant,1027913,988906,0,0,0,334701,0,0
ecarts_de_conversion_actif,2458,1082,0,0,0,694,0,0
total_general__actif,1281932,1316068,0,0,0,413071,0,0
capital_social_ou_individuel,20000,20000,0,0,0,20000,0,0
report_a_nouveau,-2929300,-2288846,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,-860490,-640454,0,0,0,-252507,0,0
total_i__capital_social,-3769790,-2909300,0,0,0,-232507,0,0
provisions_pour_risques,57058,55682,0,0,0,694,0,0
total_iii__provisions,57058,55682,0,0,0,694,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,879,782,0,0,0,915,0,0
emprunts_et_dettes_financieres_divers,4219383,3579245,0,0,0,530930,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,4240,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,576256,407585,0,0,0,111427,0,0
dettes_fiscales_et_sociales,169740,169556,0,0,0,837,0,0
autres_dettes,2269,473,0,0,0,770,0,0
total_iv__dettes,4968527,4161881,0,0,0,644880,0,0
dettes_diverses,26137,7804,0,0,0,3,0,0
total_general__passif,1281932,1316068,0,0,0,413071,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,4968527,4157641,0,0,0,644880,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,879,782,0,0,0,915,0,0
produits_intermediaires_et_finis,0,0,0,0,0,165189,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,324,0,0
emprunts_participatifs,4219383,0,0,0,0,0,0,0
