Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,29023,0,0
chiffres_daffaires_nets,0,0,0,0,0,29023,0,0
total_des_produits_dexploitation_i,0,0,0,0,0,29023,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,235654,0,0
variation_de_stock_marchandises,0,0,0,0,0,-165189,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,9922,0,0
autres_achats_et_charges_externes,0,0,0,0,0,174277,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,9561,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,625,0,0
autres_charges,0,0,0,0,0,13309,0,0
total_des_charges_dexploitation_ii,0,0,0,0,0,278161,0,0
_resultat_dexploitation_i__ii,0,0,0,0,0,-249138,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,694,0,0
interets_et_charges_assimilees,0,0,0,0,0,930,0,0
differences_negatives_de_change,0,0,0,0,0,1744,0,0
total_des_charges_financieres_vi,0,0,0,0,0,3369,0,0
_resultat_financier_v__vi,0,0,0,0,0,-3369,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,-252507,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,29023,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,281530,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,-252507,0,0
