Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_financieres,11550,11550,11550,11550,11550,11550,0,0
total_actif_immobilise,11550,11550,11550,11550,11550,11550,0,0
stock_marchandises,99974,176502,116390,69674,10000,68905,0,0
creances__clients_et_comptes_rattaches,15102,6709,4589,9255,10350,5477,0,0
disponibilites,21465,38724,25908,15945,56811,7034,0,0
charges_constatees_davance,617,567,548,545,412,400,0,0
total_actif_circulant__charges_constatees_davance,143188,222502,147435,95600,77763,86409,0,0
total_general_actif,154738,234052,158985,107150,89313,97959,0,0
capital_social_ou_individuel,8000,8000,8000,8000,8000,8000,0,0
reserve_legale,800,800,800,800,0,0,0,0
report_a_nouveau,37281,33322,31965,16441,-4188,0,0,0
resultat_de_lexercice,11987,3959,1357,15524,21429,-4188,0,0
total_des_capitaux_propres__total_i,58068,46081,42122,40765,25241,3812,0,0
fournisseurs_et_comptes_rattaches,20235,127544,57665,4435,5137,43704,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,76436,60426,59198,61950,58936,50442,0,0
total_des_dettes,96670,187971,116863,66385,64073,94146,0,0
total_general_passif,154738,234052,158985,107150,89313,97959,0,0
creances__autres,6030,0,0,180,191,4593,0,0
