Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,52949,65365,52706,53726,36002,33924,0,0
ventes_de_marchandises__france,350219,301229,262800,288080,277736,192960,0,0
production_vendue_de_services__france,6290,5626,4603,3722,0,0,0,0
subventions_dexploitation_recues,0,0,10666,0,0,0,0,0
autres_produits,-1,3,3,2824,1,2,0,0
total_des_produits_dexploitation_hors_tva,356508,306857,278073,294626,277738,192962,0,0
achats_de_marchandises_y_compris_droits_de_douane,116599,205097,199121,230874,106238,178533,0,0
variation_de_stock_marchandises,76528,-60112,-46717,-59673,58905,-68905,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,7988,7186,6803,13626,5339,11220,0,0
autres_charges_externes,51024,49737,46203,39932,38779,37599,0,0
dont_taxe_professionnelle,2334,2234,2224,1693,1694,935,0,0
impots_taxes_et_versements_assimiles,5493,5876,3538,4560,3896,3549,0,0
remunerations_du_personnel,76881,86160,59753,45431,37228,33310,0,0
charges_sociales,8837,8947,8013,2181,3190,1779,0,0
autres_charges,0,6,2,30,44,3,0,0
total_des_charges_dexploitation,343350,302898,276716,276962,253619,197088,0,0
resultat_dexploitation,13158,3959,1357,17664,24119,-4126,0,0
benefice_ou_perte,11987,3959,1357,15524,21429,-4188,0,0
montant_de_la_tva_collectee,0,47173,42099,0,48630,31811,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,9463,8890,8239,10508,34399,0,0
effectif_moyen_du_personnel,3,4,0,3,5,0,0,0
charges_financieres,0,0,0,0,0,61,0,0
impots_sur_les_benefices,1171,0,0,2740,2690,0,0,0
produits_exceptionnels,0,0,0,600,0,0,0,0
