Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,0,1419,1496,761,0,0
total_actif_immobilise,0,0,0,1419,1496,761,0,0
stock_marchandises,0,0,0,60,2218,1626,0,0
creances__clients_et_comptes_rattaches,0,0,0,15708,5383,1242,0,0
creances__autres,0,0,0,99,98,49,0,0
disponibilites,0,0,0,51702,28547,18158,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,67569,36526,21075,0,0
total_general_actif,0,0,0,68988,38021,21836,0,0
capital_social_ou_individuel,0,0,0,1000,1000,1000,0,0
resultat_de_lexercice,0,0,0,11875,6966,2463,0,0
total_des_capitaux_propres__total_i,0,0,0,22303,10429,3463,0,0
fournisseurs_et_comptes_rattaches,0,0,0,742,942,390,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,45872,26650,17982,0,0
total_des_dettes,0,0,0,46685,27592,18372,0,0
total_general_passif,0,0,0,68988,38021,21836,0,0
reserve_legale,0,0,0,100,100,0,0,0
report_a_nouveau,0,0,0,9329,2363,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,70,0,0,0,0
charges_constatees_davance,0,0,0,0,280,0,0,0
