Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_de_services__export,0,0,0,12021,4063,135,0,0
ventes_de_marchandises__france,0,0,0,1403,4650,22496,0,0
production_vendue_de_services__france,0,0,0,52623,31310,16581,0,0
autres_produits,0,0,0,1,1,3,0,0
total_des_produits_dexploitation_hors_tva,0,0,0,54027,35961,39080,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,717,4023,18031,0,0
variation_de_stock_marchandises,0,0,0,390,-592,-1626,0,0
autres_charges_externes,0,0,0,22485,23992,19524,0,0
dont_taxe_professionnelle,0,0,0,679,0,217,0,0
impots_taxes_et_versements_assimiles,0,0,0,679,0,217,0,0
dotations_aux_amortissements,0,0,0,634,340,30,0,0
autres_charges,0,0,0,6,3,5,0,0
total_des_charges_dexploitation,0,0,0,40057,27767,36182,0,0
resultat_dexploitation,0,0,0,13971,8195,2898,0,0
impots_sur_les_benefices,0,0,0,2096,1229,435,0,0
benefice_ou_perte,0,0,0,11875,6966,2463,0,0
montant_de_la_tva_collectee,0,0,0,0,6380,7788,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,1558,2110,4193,0,0
remunerations_du_personnel,0,0,0,15146,0,0,0,0
