Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_financieres,0,11700,11700,11700,11700,11700,0,0
total_actif_immobilise,0,11700,11700,11700,11700,11700,0,0
stock_marchandises,0,36464,25506,9616,25667,28856,0,0
creances__clients_et_comptes_rattaches,0,17002,9244,4104,11703,757,0,0
creances__autres,0,1204,5089,13466,1320,7925,0,0
disponibilites,0,18512,37873,22606,21817,30440,0,0
total_actif_circulant__charges_constatees_davance,0,73182,77711,49792,60507,67978,0,0
total_general_actif,0,84882,89411,61492,72207,79678,0,0
capital_social_ou_individuel,0,8000,8000,8000,8000,8000,0,0
report_a_nouveau,0,-1674,-2457,379,238,0,0,0
resultat_de_lexercice,0,2630,783,-2836,141,238,0,0
total_des_capitaux_propres__total_i,0,8955,6326,5543,8379,8238,0,0
fournisseurs_et_comptes_rattaches,0,55252,59317,28468,41673,46302,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,20674,23769,27481,22155,25138,0,0
total_des_dettes,0,75926,83085,55949,63828,71440,0,0
total_general_passif,0,84882,89411,61492,72207,79678,0,0
