Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,24711,27564,13640,35247,0,0,0
ventes_de_marchandises__france,0,154460,135444,96808,176286,171048,0,0
production_vendue_de_services__france,0,0,333,178,36,137,0,0
subventions_dexploitation_recues,0,0,3000,12494,0,0,0,0
autres_produits,0,0,5800,0,0,1,0,0
total_des_produits_dexploitation_hors_tva,0,154460,144578,109480,176322,171186,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,76894,70034,23697,73457,103223,0,0
variation_de_stock_marchandises,0,-10958,-15890,16051,3189,-28856,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,1370,0,0,0,0,0
autres_charges_externes,0,32452,31055,29253,31427,27031,0,0
impots_taxes_et_versements_assimiles,0,4578,5054,4912,3483,2568,0,0
remunerations_du_personnel,0,47754,44467,37378,62016,59127,0,0
charges_sociales,0,844,7703,1026,2608,7801,0,0
autres_charges,0,1,2,0,0,0,0,0
total_des_charges_dexploitation,0,151566,143794,112317,176180,170894,0,0
resultat_dexploitation,0,2895,783,-2837,142,292,0,0
benefice_ou_perte,0,2630,783,-2836,141,238,0,0
montant_de_la_tva_collectee,0,0,21576,16634,28208,21839,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,20729,11267,21221,21887,0,0
effectif_moyen_du_personnel,0,0,3,4,0,0,0,0
dont_taxe_professionnelle,0,-19171,0,2209,1105,-1851,0,0
produits_exceptionnels,0,36,0,1,0,6,0,0
charges_exceptionnelles,0,301,0,0,0,60,0,0
production_vendue_de_services__export,0,0,0,178,0,0,0,0
charges_financieres,0,0,0,0,1,0,0,0
