Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,1638,8078,21517,0,0,0,0,0
immobilisations_corporelles,12215,15330,18719,0,0,0,0,0
total_actif_immobilise,13853,73408,40236,0,0,0,0,0
matieres_premieres_approvisionnements_en_cours_de_production,4530,5125,3548,0,0,0,0,0
stock_marchandises,27150,31750,30473,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,28624,22237,21443,0,0,0,0,0
creances__clients_et_comptes_rattaches,843,1092,13875,0,0,0,0,0
creances__autres,9047,11255,10807,0,0,0,0,0
disponibilites,20163,2712,15099,0,0,0,0,0
charges_constatees_davance,1177,22,803,0,0,0,0,0
total_actif_circulant__charges_constatees_davance,91533,74194,96049,0,0,0,0,0
total_general_actif,105386,147603,136285,0,0,0,0,0
capital_social_ou_individuel,13160,13160,10000,0,0,0,0,0
reserve_legale,122,122,122,0,0,0,0,0
autres_reserves,49150,49150,2310,0,0,0,0,0
report_a_nouveau,-308479,-284723,-215771,0,0,0,0,0
resultat_de_lexercice,-10987,-23756,-68952,0,0,0,0,0
total_des_capitaux_propres__total_i,-257034,-246047,-272291,0,0,0,0,0
emprunts_et_dettes_assimilees,7277,18043,29938,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,1338,1338,0,0,0,0,0
fournisseurs_et_comptes_rattaches,44853,52739,48546,0,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,310290,321530,328753,0,0,0,0,0
total_des_dettes,362420,393650,408576,0,0,0,0,0
total_general_passif,105386,147603,136285,0,0,0,0,0
immobilisations_financieres,0,50000,0,0,0,0,0,0
