Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,4325,6748,11353,0,0,0,0,0
ventes_de_marchandises__france,22096,22564,69743,0,0,0,0,0
production_vendue_de_services__france,0,0,1246,0,0,0,0,0
subventions_dexploitation_recues,0,0,6333,0,0,0,0,0
autres_produits,2194,16,12,0,0,0,0,0
total_des_produits_dexploitation_hors_tva,24291,22581,77335,0,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,6812,476,36,0,0,0,0,0
variation_de_stock_marchandises,4600,-1277,12198,0,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,1001,3302,4469,0,0,0,0,0
variation_de_stock_matieres_premieres_et_approvisionnement,596,-1577,2416,0,0,0,0,0
autres_charges_externes,9840,25354,63202,0,0,0,0,0
impots_taxes_et_versements_assimiles,-19,624,4090,0,0,0,0,0
remunerations_du_personnel,0,0,29351,0,0,0,0,0
charges_sociales,0,0,10457,0,0,0,0,0
dotations_aux_amortissements,9556,16827,16016,0,0,0,0,0
autres_charges,289,13,327,0,0,0,0,0
total_des_charges_dexploitation,32675,43741,142562,0,0,0,0,0
resultat_dexploitation,-8384,-21160,-65228,0,0,0,0,0
charges_financieres,2602,2596,3725,0,0,0,0,0
benefice_ou_perte,-10987,-23756,-68952,0,0,0,0,0
