Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,1459,0,0,0,0,0,0,0
immobilisations_corporelles,1275,0,0,0,0,0,0,0
immobilisations_financieres,7450,0,0,0,0,0,0,0
total_actif_immobilise,10184,0,0,0,0,0,0,0
stock_marchandises,11300,0,0,0,0,0,0,0
creances__autres,1914,0,0,0,0,0,0,0
disponibilites,12579,0,0,0,0,0,0,0
charges_constatees_davance,203,0,0,0,0,0,0,0
total_actif_circulant__charges_constatees_davance,25996,0,0,0,0,0,0,0
total_general_actif,36180,0,0,0,0,0,0,0
capital_social_ou_individuel,5000,0,0,0,0,0,0,0
reserve_legale,359,0,0,0,0,0,0,0
report_a_nouveau,6808,0,0,0,0,0,0,0
resultat_de_lexercice,4687,0,0,0,0,0,0,0
total_des_capitaux_propres__total_i,16854,0,0,0,0,0,0,0
emprunts_et_dettes_assimilees,4334,0,0,0,0,0,0,0
fournisseurs_et_comptes_rattaches,3973,0,0,0,0,0,0,0
autres_dettes,4068,0,0,0,0,0,0,0
produits_constates_davance,6951,0,0,0,0,0,0,0
total_des_dettes,19326,0,0,0,0,0,0,0
total_general_passif,36180,0,0,0,0,0,0,0
