Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,673733,1161622,0,0,0
production_vendue_biens,0,0,0,0,6667,0,0,0
production_vendue_services,0,0,0,159709,135458,0,0,0
chiffres_daffaires_nets,0,0,0,833443,1303746,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,7782,18786,0,0,0
autres_produits,0,0,0,1059,222,0,0,0
total_des_produits_dexploitation_i,0,0,0,843783,1322753,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,352847,1127876,0,0,0
variation_de_stock_marchandises,0,0,0,68463,-287871,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,2151,14114,0,0,0
autres_achats_et_charges_externes,0,0,0,225236,439670,0,0,0
impots_taxes_et_versements_assimiles,0,0,0,2042,4155,0,0,0
salaires_et_traitements,0,0,0,150573,162132,0,0,0
charges_sociales,0,0,0,27884,52068,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,6918,8225,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,922,0,0,0
autres_charges,0,0,0,1143,160,0,0,0
total_des_charges_dexploitation_ii,0,0,0,837259,1521450,0,0,0
_resultat_dexploitation_i__ii,0,0,0,6525,-198697,0,0,0
interets_et_charges_assimilees,0,0,0,12,23655,0,0,0
total_des_charges_financieres_vi,0,0,0,17591,23655,0,0,0
_resultat_financier_v__vi,0,0,0,22655,-23655,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,29180,-222351,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,10000,11290,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,335,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,10000,11625,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,-10000,-11625,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,884029,1322753,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,864849,1556729,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,19180,-233976,0,0,0
subventions_dexploitation,0,0,0,1500,0,0,0,0
produits_financiers_de_participations,0,0,0,39996,0,0,0,0
produits_des_autres_valeurs_mobilieres_et_creances_de_lactif_immobilise,0,0,0,6,0,0,0,0
autres_interets_et_produits_assimiles,0,0,0,250,0,0,0,0
total_des_produits_financiers_v,0,0,0,40246,0,0,0,0
