Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,10000,10000,10000,10000,0,0,0,0
autres_immobilisations_corporelles,26224,25465,27678,21745,17923,0,0,0
autres_immobilisations_financieres,8400,8400,8400,8400,3900,0,0,0
total_i__immobilisations,44624,43865,46078,40145,21823,0,0,0
marchandises,234740,347975,374288,185316,143559,0,0,0
clients_et_comptes_rattaches,28272,62280,126607,102220,64344,0,0,0
autres_creances,167016,14322,4714,2855,0,0,0,0
disponibilites,28485,1008,20508,6647,24560,0,0,0
charges_constatees_davance,7087,6932,1763,6796,0,0,0,0
total_ii__actif_circulant,465598,432517,527880,308596,232464,0,0,0
total_general__actif,510223,476382,573959,348741,254287,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,1000,1000,1000,1000,1000,0,0,0
reserve_legale,100,100,100,100,0,0,0,0
report_a_nouveau,252732,139383,106746,47897,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,22926,113349,142638,45931,52828,0,0,0
total_i__capital_social,276758,253832,250483,94928,53828,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,109930,114892,77533,104098,0,0,0,0
emprunts_et_dettes_financieres_divers,19211,18544,1169,42573,73601,0,0,0
dettes_fournisseurs_et_comptes_rattaches,85341,66866,218687,74759,110156,0,0,0
dettes_fiscales_et_sociales,18899,18533,26083,31933,16702,0,0,0
autres_dettes,83,3715,3,450,0,0,0,0
total_iv__dettes,233464,222550,323475,253813,200459,0,0,0
total_general__passif,510223,476382,573959,348741,254287,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,175723,177203,258074,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,28958,52916,0,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,4762,0,0,0,0
