Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,3938435,0,0,0,0
production_vendue_services,0,0,0,4455,0,0,0,0
chiffres_daffaires_nets,0,0,0,3942891,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,4782,0,0,0,0
autres_produits,0,0,0,56,0,0,0,0
total_des_produits_dexploitation_i,0,0,0,3947728,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,3779661,0,0,0,0
variation_de_stock_marchandises,0,0,0,-41757,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,3158,0,0,0,0
autres_achats_et_charges_externes,0,0,0,118537,0,0,0,0
impots_taxes_et_versements_assimiles,0,0,0,3612,0,0,0,0
salaires_et_traitements,0,0,0,-5796,0,0,0,0
charges_sociales,0,0,0,155,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,2863,0,0,0,0
autres_charges,0,0,0,19761,0,0,0,0
total_des_charges_dexploitation_ii,0,0,0,3880194,0,0,0,0
_resultat_dexploitation_i__ii,0,0,0,67534,0,0,0,0
interets_et_charges_assimilees,0,0,0,380,0,0,0,0
total_des_charges_financieres_vi,0,0,0,380,0,0,0,0
_resultat_financier_v__vi,0,0,0,-380,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,67154,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,668,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,668,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,-666,0,0,0,0
impots_sur_les_benefices,0,0,0,20555,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,3947728,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,3901797,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,45931,0,0,0,0
