Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,0,0,0,0,84500,0,0,0
immobilisations_incorporelles__autres,0,0,0,0,8560,0,0,0
immobilisations_corporelles,0,0,0,0,8789,0,0,0
immobilisations_financieres,0,0,0,0,2400,0,0,0
total_actif_immobilise,0,0,0,0,104249,0,0,0
stock_marchandises,0,0,0,0,12563,0,0,0
creances__clients_et_comptes_rattaches,0,0,0,0,5482,0,0,0
creances__autres,0,0,0,0,128,0,0,0
disponibilites,0,0,0,0,60235,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,0,78408,0,0,0
total_general_actif,0,0,0,0,182657,0,0,0
capital_social_ou_individuel,0,0,0,0,8000,0,0,0
resultat_de_lexercice,0,0,0,0,74498,0,0,0
total_des_capitaux_propres__total_i,0,0,0,0,82498,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,100159,0,0,0
total_des_dettes,0,0,0,0,100159,0,0,0
total_general_passif,0,0,0,0,182657,0,0,0
