Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,0,0,0,504,0,1633,0,0
total_i__immobilisations,0,0,0,504,0,1633,0,0
clients_et_comptes_rattaches,0,4636,14248,3156,0,0,0,0
autres_creances,0,534,2964,350,0,505,0,0
total_ii__actif_circulant,0,7657,17212,4236,0,505,0,0
total_general__actif,0,7657,17212,4741,0,2139,0,0
capital_social_ou_individuel,0,1000,1000,1000,0,1000,0,0
reserve_legale,0,100,100,0,0,0,0,0
autres_reserves,0,43,43,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,-104,-80,257,0,-465,0,0
total_i__capital_social,0,958,1062,1143,0,534,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,4260,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,6698,8046,3374,0,480,0,0
dettes_fiscales_et_sociales,0,0,3843,224,0,0,0,0
total_iv__dettes,0,6698,16149,3598,0,1604,0,0
total_general__passif,0,7657,17212,4741,0,2139,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,6698,16149,3598,0,1604,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,4260,0,0,0,0,0
disponibilites,0,2487,0,214,0,0,0,0
charges_constatees_davance,0,0,0,515,0,0,0,0
report_a_nouveau,0,-80,0,-113,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,1124,0,0
