Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,18129,26616,20350,0,0,0,0
chiffres_daffaires_nets,0,18129,26616,20350,0,0,0,0
total_des_produits_dexploitation_i,0,18131,26617,20367,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,15324,21266,17478,0,0,0,0
autres_achats_et_charges_externes,0,2331,3299,2041,0,400,0,0
impots_taxes_et_versements_assimiles,0,818,818,0,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,504,564,0,59,0,0
autres_charges,0,23,1,1,0,0,0,0
total_des_charges_dexploitation_ii,0,18498,25890,20085,0,459,0,0
_resultat_dexploitation_i__ii,0,-367,726,282,0,-459,0,0
interets_et_charges_assimilees,0,69,7,0,0,6,0,0
total_des_charges_financieres_vi,0,69,7,0,0,6,0,0
_resultat_financier_v__vi,0,-69,-7,0,0,-6,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,-436,719,282,0,-465,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,68,800,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,68,800,0,0,0,0,0
_resultat_exceptionnel_vii__viii,0,332,-800,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,18531,26617,20367,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,18635,26698,20110,0,465,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,-104,-80,257,0,-465,0,0
autres_produits,0,1,0,17,0,0,0,0
impots_sur_les_benefices,0,0,0,25,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,400,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,400,0,0,0,0,0,0
