Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,3869,5067,0,0,0,0
total_i__immobilisations,0,0,3869,5067,0,0,0,0
marchandises,0,0,0,791,0,0,0,0
clients_et_comptes_rattaches,0,0,1108393,1365209,0,0,0,0
autres_creances,0,0,91604,9616,0,0,0,0
disponibilites,0,0,266592,169536,0,0,0,0
charges_constatees_davance,0,0,0,11379,0,0,0,0
total_ii__actif_circulant,0,0,1466589,1556531,0,0,0,0
ecarts_de_conversion_actif,0,0,0,0,0,0,0,0
total_general__actif,0,0,1470459,1561598,0,0,0,0
capital_social_ou_individuel,0,0,5000,5000,0,0,0,0
report_a_nouveau,0,0,-262864,28,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,35288,-262892,0,0,0,0
total_i__capital_social,0,0,-222576,-257864,0,0,0,0
provisions_pour_risques,0,0,0,0,0,0,0,0
total_iii__provisions,0,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,347827,365734,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,1167098,1346548,0,0,0,0
dettes_fiscales_et_sociales,0,0,113934,107180,0,0,0,0
total_iv__dettes,0,0,1693034,1819462,0,0,0,0
total_general__passif,0,0,1470459,1561598,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,6971,0,0,0,0,0
autres_dettes,0,0,57205,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,1693034,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,347827,0,0,0,0,0
