Libellé,2023,2022,2021,2020,2019,2018,2017,2016
constructions,570,0,782,888,994,0,0,0
installations_techniques_materiel_et_outillage_industriels,751,0,1317,0,0,0,0,0
total_i__immobilisations,1321,0,2099,888,994,0,0,0
clients_et_comptes_rattaches,396,0,726,1413,0,0,0,0
autres_creances,792,0,1746,3502,1062,0,0,0
disponibilites,1785,0,3144,3154,3150,0,0,0
charges_constatees_davance,2300,0,1485,1389,0,0,0,0
total_ii__actif_circulant,5273,0,7101,9457,4212,0,0,0
total_general__actif,6594,0,9201,10345,5206,0,0,0
capital_social_ou_individuel,500,0,500,500,500,0,0,0
report_a_nouveau,-103099,0,-38813,-22568,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,-39181,0,-36788,-16245,-22568,0,0,0
total_i__capital_social,-141781,0,-75101,-38313,-22068,0,0,0
emprunts_et_dettes_financieres_divers,133876,0,81240,46428,24834,0,0,0
dettes_fournisseurs_et_comptes_rattaches,10620,0,1775,144,165,0,0,0
dettes_fiscales_et_sociales,3879,0,1275,2086,2275,0,0,0
autres_dettes,0,0,11,0,0,0,0,0
total_iv__dettes,148375,0,84301,48657,27273,0,0,0
total_general__passif,6594,0,9201,10345,5206,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,84301,48657,27273,0,0,0
