Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,76320,0,33670,1336,0,0,0,0
production_vendue_services,0,0,315,20,0,0,0,0
chiffres_daffaires_nets,76771,0,33985,1356,0,0,0,0
subventions_dexploitation,0,0,4667,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,12252,0,0,0,0
autres_produits,2,0,2,1,0,0,0,0
total_des_produits_dexploitation_i,76773,0,38654,13609,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,43654,0,5440,0,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,2190,0,356,0,0,0,0,0
autres_achats_et_charges_externes,20089,0,33727,10053,6898,0,0,0
impots_taxes_et_versements_assimiles,4021,0,1731,928,0,0,0,0
salaires_et_traitements,40639,0,31032,17015,14778,0,0,0
charges_sociales,4962,0,2950,1692,827,0,0,0
dot_dexploit__dotations_aux_amortissements,389,0,204,106,65,0,0,0
autres_charges,10,0,2,2,0,0,0,0
total_des_charges_dexploitation_ii,115954,0,75442,29795,22568,0,0,0
_resultat_dexploitation_i__ii,-39181,0,-36788,-16186,-22568,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-39181,0,-36788,-16186,-22568,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,59,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,59,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,-59,0,0,0,0
total_des_produits_i__iii__v__vii,76773,0,38654,13609,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,115954,0,75442,29854,22568,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,-39181,0,-36788,-16245,-22568,0,0,0
production_vendue_biens,451,0,0,0,0,0,0,0
