Libellé,2023,2022,2021,2020,2019,2018,2017,2016
creances__autres,0,0,0,215,0,0,0,0
disponibilites,0,0,0,353,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,568,0,0,0,0
total_general_actif,0,0,0,568,0,0,0,0
capital_social_ou_individuel,0,0,0,1000,0,0,0,0
report_a_nouveau,0,0,0,-2287,0,0,0,0
resultat_de_lexercice,0,0,0,-647,0,0,0,0
total_des_capitaux_propres__total_i,0,0,0,-1935,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,2502,0,0,0,0
total_des_dettes,0,0,0,2502,0,0,0,0
total_general_passif,0,0,0,568,0,0,0,0
