Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,0,0,33,417,801,0,0,0
immobilisations_corporelles,0,0,617,927,1237,0,0,0
total_actif_immobilise,0,0,650,1344,2038,0,0,0
creances__autres,0,0,497,413,337,0,0,0
disponibilites,0,0,266,1652,1385,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,763,2065,1722,0,0,0
total_general_actif,0,0,1414,3410,3761,0,0,0
capital_social_ou_individuel,0,0,5000,5000,5000,0,0,0
resultat_de_lexercice,0,0,-1963,-840,-1981,0,0,0
total_des_capitaux_propres__total_i,0,0,216,2179,3019,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,742,787,742,0,0,0
total_des_dettes,0,0,1198,1231,742,0,0,0
total_general_passif,0,0,1414,3410,3761,0,0,0
report_a_nouveau,0,0,-2821,-1981,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,456,444,0,0,0,0
