Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_charges_externes,0,0,1608,631,1275,0,0,0
dotations_aux_amortissements,0,0,694,694,657,0,0,0
autres_charges,0,0,0,0,49,0,0,0
total_des_charges_dexploitation,0,0,2302,1325,1981,0,0,0
resultat_dexploitation,0,0,-1963,-841,-1981,0,0,0
benefice_ou_perte,0,0,-1963,-840,-1981,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,144,0,337,0,0,0
production_vendue_de_services__france,0,0,339,484,0,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,339,484,0,0,0,0
produits_financiers,0,0,0,1,0,0,0,0
charges_financieres,0,0,6,0,0,0,0,0
montant_de_la_tva_collectee,0,0,68,0,0,0,0,0
