Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,415132,0,502171,35404,0,0,0,0
immobilisations_en_cours,0,0,0,30748,0,0,0,0
total_i__immobilisations,426894,0,513592,66152,0,0,0,0
marchandises,14422381,0,8530079,1677230,0,0,0,0
clients_et_comptes_rattaches,717894,0,813832,475760,0,0,0,0
autres_creances,95229,0,200115,178880,0,0,0,0
disponibilites,5150355,0,4159218,1506706,0,0,0,0
total_ii__actif_circulant,20386949,0,13703243,3838576,0,0,0,0
total_general__actif,20813844,0,14216836,3904728,0,0,0,0
capital_social_ou_individuel,50000,0,50000,50000,0,0,0,0
ecarts_de_reevaluation,0,0,0,8,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,-1315906,0,-190759,-126990,0,0,0,0
total_i__capital_social,-2258544,0,-267749,-76990,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,302864,0,217927,136535,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,4311892,0,504253,860263,0,0,0,0
dettes_fiscales_et_sociales,308078,0,249003,76608,0,0,0,0
dettes_sur_immobilisations_et_comptes_rattaches,0,0,15917,17400,0,0,0,0
autres_dettes,18138046,0,13496053,2890912,0,0,0,0
total_iv__dettes,23069934,0,14483153,3981717,0,0,0,0
total_general__passif,20813844,0,14216836,3904728,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,11762,0,11422,0,0,0,0,0
charges_constatees_davance,1090,0,0,0,0,0,0,0
report_a_nouveau,-992638,0,-126990,0,0,0,0,0
provisions_pour_risques,2455,0,1432,0,0,0,0,0
total_iii__provisions,2455,0,1432,0,0,0,0,0
emprunts_et_dettes_financieres_divers,5,0,5,0,0,0,0,0
produits_constates_davance,9054,0,0,0,0,0,0,0
avances_et_acomptes,0,0,0,0,0,0,0,0
