Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,21368403,0,9778179,5027026,0,0,0,0
production_vendue_services,102371,0,69902,18740,0,0,0,0
chiffres_daffaires_nets,21470775,0,9848081,5045766,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,45172,0,3312,2548,0,0,0,0
autres_produits,46331,0,11978,419,0,0,0,0
total_des_produits_dexploitation_i,21562277,0,9863370,5048732,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,18699506,0,15345562,5962930,0,0,0,0
variation_de_stock_marchandises,-580557,0,-6844734,-1677225,0,0,0,0
autres_achats_et_charges_externes,3295524,0,1089795,725627,0,0,0,0
impots_taxes_et_versements_assimiles,19483,0,25604,2267,0,0,0,0
salaires_et_traitements,742556,0,260943,110371,0,0,0,0
charges_sociales,348792,0,121738,50115,0,0,0,0
dot_dexploit__dotations_aux_amortissements,93255,0,27881,610,0,0,0,0
autres_charges,33641,0,7372,474,0,0,0,0
total_des_charges_dexploitation_ii,22667119,0,10035592,5175169,0,0,0,0
_resultat_dexploitation_i__ii,-1104842,0,-172222,-126437,0,0,0,0
produits_financiers_de_participations,27371,0,3880,139,0,0,0,0
total_des_produits_financiers_v,27371,0,3880,139,0,0,0,0
interets_et_charges_assimilees,238435,0,22412,284,0,0,0,0
differences_negatives_de_change,9155,0,394,394,0,0,0,0
total_des_charges_financieres_vi,238435,0,22412,678,0,0,0,0
_resultat_financier_v__vi,-211064,0,-18532,-539,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-1315906,0,-190755,-126976,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,5,14,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,5,14,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,-5,-14,0,0,0,0
total_des_produits_i__iii__v__vii,21589648,0,9867250,5048872,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,22905554,0,10058010,5175862,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,-1315906,0,-190759,-126990,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,12464,0,0,0,0,0,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,2455,0,1432,0,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,0
differences_positives_de_change,25930,0,0,0,0,0,0,0
