Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,969758,1028577,896874,906587,0,0,0,0
production_vendue_services,29499,25930,26942,32417,0,0,0,0
chiffres_daffaires_nets,999257,1054508,923815,939004,0,0,0,0
production_immobilisee,0,0,0,-7,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,14688,13767,109,9175,0,0,0,0
autres_produits,616,13,11,9,0,0,0,0
total_des_produits_dexploitation_i,1014560,1068287,923935,948180,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,556217,646833,552589,752643,0,0,0,0
variation_de_stock_marchandises,-25987,5780,-41731,-249913,0,0,0,0
autres_achats_et_charges_externes,149005,123983,118095,126244,0,0,0,0
impots_taxes_et_versements_assimiles,5087,5021,5137,18620,0,0,0,0
salaires_et_traitements,101408,98398,82307,102425,0,0,0,0
charges_sociales,33325,33225,23916,35651,0,0,0,0
dot_dexploit__dotations_aux_amortissements,6147,15544,14920,10777,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,45700,14934,13767,0,0,0,0,0
autres_charges,39,21,375,26,0,0,0,0
total_des_charges_dexploitation_ii,870941,943739,769376,796474,0,0,0,0
_resultat_dexploitation_i__ii,143619,124548,154559,151707,0,0,0,0
autres_interets_et_produits_assimiles,0,0,1,20,0,0,0,0
differences_positives_de_change,464,81,277,168,0,0,0,0
total_des_produits_financiers_v,464,81,278,188,0,0,0,0
interets_et_charges_assimilees,5910,3954,4531,6490,0,0,0,0
differences_negatives_de_change,2025,3078,1193,2912,0,0,0,0
total_des_charges_financieres_vi,7935,7032,5724,9402,0,0,0,0
_resultat_financier_v__vi,-7471,-6951,-5446,-9214,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,136148,117597,149113,142493,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,1481,0,0,0,0
total_des_charges_exceptionnelles_viii,0,9450,0,1481,0,0,0,0
_resultat_exceptionnel_vii__viii,13,-9450,0,-1481,0,0,0,0
impots_sur_les_benefices,29695,28659,41752,38203,0,0,0,0
total_des_produits_i__iii__v__vii,1015037,1068369,924212,948368,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,908571,988880,816851,845559,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,106466,79488,107361,102809,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,9450,0,0,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,13,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,13,0,0,0,0,0,0,0
