Libellé,2023,2022,2021,2020,2019,2018,2017,2016
avances_et_acomptes,0,0,0,0,0,0,0,0
autres_participations,0,7701494,1651450,200000,200000,0,0,0
total_i__immobilisations,7166984,7701494,1651450,200000,200000,0,0,0
autres_creances,31408,17112,6003690,2820,1941,0,0,0
disponibilites,2276,44350,548195,5232,9985,0,0,0
total_ii__actif_circulant,33684,61462,6551885,8052,11926,0,0,0
total_general__actif,7200668,7762956,8203335,208052,211926,0,0,0
capital_social_ou_individuel,50000,50000,50000,50000,50000,0,0,0
ecarts_de_reevaluation,0,0,0,8,0,0,0,0
report_a_nouveau,-194844,-35452,-16809,-10564,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,-1045438,-159391,-18643,-6246,-10564,0,0,0
total_i__capital_social,-1170466,-135326,14572,33191,39436,0,0,0
emprunts_et_dettes_financieres_divers,5,5,0,5,5,0,0,0
dettes_fournisseurs_et_comptes_rattaches,73825,16140,4476,7200,11643,0,0,0
autres_dettes,8297308,7882142,8184287,167661,160846,0,0,0
total_iv__dettes,8371133,7898282,8188763,174861,172489,0,0,0
total_general__passif,7200668,7762956,8203335,208052,211926,0,0,0
autres_titres_immobilises,7166984,0,0,0,0,0,0,0
provisions_reglementees,19816,9517,25,0,0,0,0,0
dettes_diverses,1,0,0,0,0,0,0,0
