Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_achats_et_charges_externes,151668,18601,4839,4430,9718,0,0,0
autres_charges,0,4,1,1,0,0,0,0
total_des_charges_dexploitation_ii,151668,18605,4841,4431,9718,0,0,0
_resultat_dexploitation_i__ii,-151667,-18603,-4840,-4431,-9718,0,0,0
interets_et_charges_assimilees,348962,131296,13779,1815,846,0,0,0
total_des_charges_financieres_vi,883472,131296,13779,1815,846,0,0,0
_resultat_financier_v__vi,-883472,-131296,-13779,-1815,-846,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-1035139,-149899,-18618,-6246,-10564,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,1045439,159393,18644,6246,10564,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,-1045438,-159391,-18643,-6246,-10564,0,0,0
autres_produits,1,2,1,0,0,0,0,0
total_des_produits_dexploitation_i,1,2,1,0,0,0,0,0
dotations_financieres_sur_amortissements_et_provisions,534510,0,0,0,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,10299,9492,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,10299,9492,25,0,0,0,0,0
_resultat_exceptionnel_vii__viii,-10299,-9492,-25,0,0,0,0,0
total_des_produits_i__iii__v__vii,1,2,1,0,0,0,0,0
