Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,3826,7221,6592,0,0,0,0
immobilisations_financieres,0,580,580,580,0,0,0,0
total_actif_immobilise,0,4406,7801,7172,0,0,0,0
stock_marchandises,0,555718,273032,464584,0,0,0,0
creances__clients_et_comptes_rattaches,0,887378,322074,288271,0,0,0,0
creances__autres,0,877227,251456,80,0,0,0,0
disponibilites,0,635380,266561,2253,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,2955703,1113123,755188,0,0,0,0
total_general_actif,0,2960109,1120924,762360,0,0,0,0
capital_social_ou_individuel,0,7500,7500,7500,0,0,0,0
reserve_legale,0,750,750,750,0,0,0,0
resultat_de_lexercice,0,181147,233975,109563,0,0,0,0
total_des_capitaux_propres__total_i,0,189397,242225,117813,0,0,0,0
emprunts_et_dettes_assimilees,0,149286,153660,10769,0,0,0,0
fournisseurs_et_comptes_rattaches,0,1216708,327669,567472,0,0,0,0
autres_dettes,0,463489,228911,66306,0,0,0,0
produits_constates_davance,0,941229,168460,0,0,0,0,0
total_des_dettes,0,2770712,878700,644547,0,0,0,0
total_general_passif,0,2960109,1120924,762360,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
