Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,615535,353865,338643,0,0,0,0
production_vendue_services,0,836232,509726,434552,0,0,0,0
chiffres_daffaires_nets,0,1451767,863591,773195,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,28166,7001,0,0,0,0,0
autres_produits,0,3,56,0,0,0,0,0
total_des_produits_dexploitation_i,0,1479936,870648,774695,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,217007,109188,109000,0,0,0,0
autres_achats_et_charges_externes,0,589890,408266,252155,0,0,0,0
impots_taxes_et_versements_assimiles,0,4106,2904,12825,0,0,0,0
salaires_et_traitements,0,404984,245228,232802,0,0,0,0
charges_sociales,0,163972,101285,117493,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,98703,33198,32386,0,0,0,0
autres_charges,0,200,211,33022,0,0,0,0
total_des_charges_dexploitation_ii,0,1478861,900280,789682,0,0,0,0
_resultat_dexploitation_i__ii,0,1074,-29633,-14987,0,0,0,0
interets_et_charges_assimilees,0,1120,1563,465,0,0,0,0
total_des_charges_financieres_vi,0,1120,1563,465,0,0,0,0
_resultat_financier_v__vi,0,-1120,-1563,-465,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,-46,-31196,-15452,0,0,0,0
total_des_produits_i__iii__v__vii,0,1479936,870648,774695,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,1479981,901843,790147,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,-46,-31196,-15452,0,0,0,0
subventions_dexploitation,0,0,0,1500,0,0,0,0
produits_financiers_de_participations,0,0,1,0,0,0,0,0
