Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,5709,0,1930,0,0,0,0,0
immobilisations_financieres,13950,0,13950,13950,0,0,0,0
total_actif_immobilise,19659,0,15880,13950,0,0,0,0
matieres_premieres_approvisionnements_en_cours_de_production,138770,0,32701,78752,0,0,0,0
stock_marchandises,380232,0,287139,165003,0,0,0,0
creances__clients_et_comptes_rattaches,39023,0,40938,37882,0,0,0,0
creances__autres,13510,0,15152,64603,0,0,0,0
disponibilites,76144,0,38780,116789,0,0,0,0
charges_constatees_davance,3039,0,2119,1781,0,0,0,0
total_actif_circulant__charges_constatees_davance,650719,0,416828,464811,0,0,0,0
total_general_actif,670378,0,432708,478761,0,0,0,0
capital_social_ou_individuel,8000,0,8000,8000,0,0,0,0
reserve_legale,800,0,800,0,0,0,0,0
autres_reserves,48487,0,37099,0,0,0,0,0
resultat_de_lexercice,18032,0,86035,37899,0,0,0,0
total_des_capitaux_propres__total_i,75319,0,131934,45899,0,0,0,0
emprunts_et_dettes_assimilees,255,0,193,149,0,0,0,0
fournisseurs_et_comptes_rattaches,537927,0,216988,347569,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,56878,0,83592,85144,0,0,0,0
total_des_dettes,595060,0,300773,432862,0,0,0,0
total_general_passif,670378,0,432708,478761,0,0,0,0
