Libellé,2023,2022,2021,2020,2019,2018,2017,2016
montant_de_la_tva_collectee,113198,0,87080,65367,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,22460,0,15536,117673,0,0,0,0
effectif_moyen_du_personnel,5,0,4,5,0,0,0,0
ventes_de_marchandises__export,0,0,340191,263223,0,0,0,0
production_vendue_de_services__export,0,0,4712,2580,0,0,0,0
ventes_de_marchandises__france,0,0,773827,589699,0,0,0,0
production_vendue_de_services__france,0,0,6477,2929,0,0,0,0
subventions_dexploitation_recues,0,0,3000,4500,0,0,0,0
autres_produits,0,0,13725,22,0,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,797029,597150,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,559360,614292,0,0,0,0
variation_de_stock_marchandises,0,0,-76084,-243756,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,54,0,0,0,0
autres_charges_externes,0,0,85858,81864,0,0,0,0
impots_taxes_et_versements_assimiles,0,0,3052,3806,0,0,0,0
remunerations_du_personnel,0,0,91635,76344,0,0,0,0
charges_sociales,0,0,21414,20744,0,0,0,0
autres_charges,0,0,7,8,0,0,0,0
total_des_charges_dexploitation,0,0,685584,553356,0,0,0,0
resultat_dexploitation,0,0,111444,43793,0,0,0,0
impots_sur_les_benefices,0,0,25409,5894,0,0,0,0
benefice_ou_perte,0,0,86035,37899,0,0,0,0
dont_taxe_professionnelle,0,0,514,0,0,0,0,0
dotations_aux_amortissements,0,0,342,0,0,0,0,0
