Libellé,2023,2022,2021,2020,2019,2018,2017,2016
stock_marchandises,0,124000,114921,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,1170,0,0,0,0,0,0
creances__clients_et_comptes_rattaches,0,19253,9184,0,0,0,0,0
creances__autres,0,3878,676,0,0,0,0,0
disponibilites,0,25433,17084,0,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,173734,141864,0,0,0,0,0
total_general_actif,0,173734,141864,0,0,0,0,0
capital_social_ou_individuel,0,2000,2000,0,0,0,0,0
reserve_legale,0,200,200,0,0,0,0,0
report_a_nouveau,0,54611,23681,0,0,0,0,0
resultat_de_lexercice,0,16984,30930,0,0,0,0,0
total_des_capitaux_propres__total_i,0,73795,56811,0,0,0,0,0
fournisseurs_et_comptes_rattaches,0,5825,13304,0,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,94114,71749,0,0,0,0,0
total_des_dettes,0,99939,85053,0,0,0,0,0
total_general_passif,0,173734,141864,0,0,0,0,0
