Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_financieres,0,0,0,2580,0,0,0,0
total_actif_immobilise,0,0,0,2580,0,0,0,0
stock_marchandises,0,0,0,6557,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,6557,0,0,0,0
total_general_actif,0,0,0,9137,0,0,0,0
capital_social_ou_individuel,0,0,0,1000,0,0,0,0
resultat_de_lexercice,0,0,0,-13440,0,0,0,0
total_des_capitaux_propres__total_i,0,0,0,-12440,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,360,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,21217,0,0,0,0
total_des_dettes,0,0,0,21577,0,0,0,0
total_general_passif,0,0,0,9137,0,0,0,0
