Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,11315,0,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,0,11315,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,8282,0,0,0,0
variation_de_stock_marchandises,0,0,0,-6557,0,0,0,0
autres_charges_externes,0,0,0,21837,0,0,0,0
charges_sociales,0,0,0,1193,0,0,0,0
total_des_charges_dexploitation,0,0,0,24755,0,0,0,0
resultat_dexploitation,0,0,0,-13440,0,0,0,0
benefice_ou_perte,0,0,0,-13440,0,0,0,0
montant_de_la_tva_collectee,0,0,0,1741,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,762,0,0,0,0
