Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,0,0,0,0,30000,0,0,0
immobilisations_corporelles,0,0,0,0,632,0,0,0
total_actif_immobilise,0,0,0,0,30632,0,0,0
stock_marchandises,0,0,0,0,47612,0,0,0
creances__clients_et_comptes_rattaches,0,0,0,0,410,0,0,0
creances__autres,0,0,0,0,253,0,0,0
valeurs_mobilieres_de_placement,0,0,0,0,80,0,0,0
disponibilites,0,0,0,0,22403,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,0,70758,0,0,0
total_general_actif,0,0,0,0,101390,0,0,0
capital_social_ou_individuel,0,0,0,0,7000,0,0,0
resultat_de_lexercice,0,0,0,0,5890,0,0,0
total_des_capitaux_propres__total_i,0,0,0,0,12890,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,0,62292,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,26208,0,0,0
total_des_dettes,0,0,0,0,88500,0,0,0
total_general_passif,0,0,0,0,101390,0,0,0
