Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,0,0,109,0,0,0
ventes_de_marchandises__france,0,0,0,0,71547,0,0,0
production_vendue_de_services__france,0,0,0,0,90,0,0,0
autres_produits,0,0,0,0,1,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,0,0,71638,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,83387,0,0,0
variation_de_stock_marchandises,0,0,0,0,-47612,0,0,0
autres_charges_externes,0,0,0,0,3605,0,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,113,0,0,0
remunerations_du_personnel,0,0,0,0,22525,0,0,0
charges_sociales,0,0,0,0,2562,0,0,0
dotations_aux_amortissements,0,0,0,0,126,0,0,0
autres_charges,0,0,0,0,1,0,0,0
total_des_charges_dexploitation,0,0,0,0,64708,0,0,0
resultat_dexploitation,0,0,0,0,6930,0,0,0
impots_sur_les_benefices,0,0,0,0,1040,0,0,0
benefice_ou_perte,0,0,0,0,5890,0,0,0
montant_de_la_tva_collectee,0,0,0,0,14288,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,15605,0,0,0
