Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_biens,0,0,0,17795,0,0,0,0
chiffres_daffaires_nets,0,0,0,17795,0,0,0,0
total_des_produits_dexploitation_i,0,0,0,17795,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,26983,0,0,0,0
variation_de_stock_marchandises,0,0,0,-18255,0,0,0,0
autres_achats_et_charges_externes,0,0,0,16391,0,0,0,0
impots_taxes_et_versements_assimiles,0,0,0,70,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,569,0,0,0,0
autres_charges,0,0,0,413,0,0,0,0
total_des_charges_dexploitation_ii,0,0,0,26171,0,0,0,0
_resultat_dexploitation_i__ii,0,0,0,-8376,0,0,0,0
interets_et_charges_assimilees,0,0,0,437,0,0,0,0
total_des_charges_financieres_vi,0,0,0,437,0,0,0,0
_resultat_financier_v__vi,0,0,0,-437,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,-8812,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,17795,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,26608,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,-8812,0,0,0,0
